[08-Nov-2023 10:45:05 Asia/Calcutta] PHP Warning:  Undefined array key "UserEmpReraId" in D:\xampp\htdocs\apnalead\handler\ModuleController\UserController.php on line 80
[08-Nov-2023 10:45:24 Asia/Calcutta] PHP Warning:  Undefined array key "UserEmpReraId" in D:\xampp\htdocs\apnalead\handler\ModuleController\UserController.php on line 80
[08-Nov-2023 11:33:13 Asia/Calcutta] PHP Warning:  Attempt to read property "adaccounts" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 28
[08-Nov-2023 11:33:13 Asia/Calcutta] PHP Warning:  Attempt to read property "data" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 28
[08-Nov-2023 11:33:13 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\handler\index.php on line 29
[08-Nov-2023 11:33:18 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$leads in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 11:33:18 Asia/Calcutta] PHP Warning:  Attempt to read property "data" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 11:33:18 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\handler\index.php on line 41
[08-Nov-2023 11:33:18 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 161
[08-Nov-2023 11:33:18 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 161
[08-Nov-2023 11:33:18 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 161
[08-Nov-2023 11:33:18 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 161
[08-Nov-2023 11:33:18 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 161
[08-Nov-2023 11:33:18 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 161
[08-Nov-2023 11:33:18 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 161
[08-Nov-2023 11:33:18 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 161
[08-Nov-2023 11:33:18 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 161
[08-Nov-2023 11:33:18 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 161
[08-Nov-2023 11:33:18 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 161
[08-Nov-2023 11:33:19 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 161
[08-Nov-2023 11:35:28 Asia/Calcutta] PHP Warning:  Attempt to read property "adaccounts" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 83
[08-Nov-2023 11:35:28 Asia/Calcutta] PHP Warning:  Attempt to read property "data" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 83
[08-Nov-2023 11:35:28 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\handler\index.php on line 84
[08-Nov-2023 11:35:33 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$leads in D:\xampp\htdocs\apnalead\handler\index.php on line 95
[08-Nov-2023 11:35:33 Asia/Calcutta] PHP Warning:  Attempt to read property "data" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 95
[08-Nov-2023 11:35:33 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\handler\index.php on line 96
[08-Nov-2023 11:36:57 Asia/Calcutta] PHP Warning:  Attempt to read property "adaccounts" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 28
[08-Nov-2023 11:36:57 Asia/Calcutta] PHP Warning:  Attempt to read property "data" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 28
[08-Nov-2023 11:36:57 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\handler\index.php on line 29
[08-Nov-2023 11:37:02 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$leads in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 11:37:02 Asia/Calcutta] PHP Warning:  Attempt to read property "data" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 11:37:02 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\handler\index.php on line 41
[08-Nov-2023 11:37:11 Asia/Calcutta] PHP Warning:  Attempt to read property "adaccounts" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 28
