[24-Feb-2023 09:34:56 Asia/Calcutta] PHP Fatal error:  Uncaught Error: Undefined constant "AuthAppUser("UserProfileImage")" in C:\xampp\htdocs\roofnassets\include\admin\header.php:62
Stack trace:
#0 C:\xampp\htdocs\roofnassets\admin\crm\bookings\index.php(34): include()
#1 {main}
  thrown in C:\xampp\htdocs\roofnassets\include\admin\header.php on line 62
[24-Feb-2023 09:46:10 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Wallet-Payments.php on line 11
[24-Feb-2023 09:46:10 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Wallet-Payments.php on line 11
[24-Feb-2023 09:46:10 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Wallet-Payments.php on line 11
[24-Feb-2023 09:46:10 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Wallet-Payments.php on line 11
[24-Feb-2023 09:46:10 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Wallet-Payments.php on line 11
[24-Feb-2023 09:46:10 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Wallet-Payments.php on line 11
[24-Feb-2023 09:46:10 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Cheque-Payment-Details.php on line 11
[24-Feb-2023 09:46:10 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Cheque-Payment-Details.php on line 11
[24-Feb-2023 09:46:10 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Cheque-Payment-Details.php on line 11
[24-Feb-2023 09:46:10 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Cheque-Payment-Details.php on line 11
[24-Feb-2023 09:46:10 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Cheque-Payment-Details.php on line 11
[24-Feb-2023 09:46:10 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Cheque-Payment-Details.php on line 11
[24-Feb-2023 09:46:10 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Cash-Payments.php on line 11
[24-Feb-2023 09:46:10 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Cash-Payments.php on line 11
[24-Feb-2023 09:46:10 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Cash-Payments.php on line 11
[24-Feb-2023 09:46:10 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Cash-Payments.php on line 11
[24-Feb-2023 09:46:10 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Cash-Payments.php on line 11
[24-Feb-2023 09:46:10 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Cash-Payments.php on line 11
[24-Feb-2023 09:46:10 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Cash-Payments.php on line 11
[24-Feb-2023 09:46:10 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Cash-Payments.php on line 11
[24-Feb-2023 09:46:10 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Online-Payment-Details.php on line 11
[24-Feb-2023 09:46:10 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Online-Payment-Details.php on line 11
[24-Feb-2023 09:46:49 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Wallet-Payments.php on line 11
[24-Feb-2023 09:46:49 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Wallet-Payments.php on line 11
[24-Feb-2023 09:46:49 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Wallet-Payments.php on line 11
[24-Feb-2023 09:46:49 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Wallet-Payments.php on line 11
[24-Feb-2023 09:46:49 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Wallet-Payments.php on line 11
[24-Feb-2023 09:46:49 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Wallet-Payments.php on line 11
[24-Feb-2023 09:46:49 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Cheque-Payment-Details.php on line 11
[24-Feb-2023 09:46:49 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Cheque-Payment-Details.php on line 11
[24-Feb-2023 09:46:49 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Cheque-Payment-Details.php on line 11
